Vardas         Pavardė       ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egzaminas 
Vardas386      Pavardė386    3       6       3       1       5       1       5       1       5       6       2         
Vardas387      Pavardė387    1       3       4       8       4       3       2       6       8       5       6         
Vardas388      Pavardė388    3       6       8       9       1       2       7       5       10      7       5         
Vardas389      Pavardė389    10      6       7       2       9       1       3       8       8       7       9         
Vardas390      Pavardė390    3       2       2       8       1       9       5       8       6       10      10        
Vardas391      Pavardė391    1       2       1       5       10      10      9       1       4       5       2         
Vardas392      Pavardė392    5       2       3       2       8       8       7       6       7       3       1         
Vardas393      Pavardė393    10      4       10      7       6       9       9       6       6       2       7         
Vardas394      Pavardė394    5       9       9       10      10      4       5       6       10      8       5         
Vardas395      Pavardė395    6       5       10      10      9       2       4       5       3       3       1         
Vardas396      Pavardė396    5       8       2       5       6       5       8       8       3       10      2         
Vardas397      Pavardė397    10      5       7       3       4       1       3       8       7       6       7         
Vardas398      Pavardė398    1       9       7       9       1       1       7       4       2       9       3         
Vardas399      Pavardė399    7       1       6       8       6       8       1       6       5       8       6         
Vardas400      Pavardė400    5       9       10      2       10      1       10      4       7       7       9         
Vardas401      Pavardė401    9       1       8       10      8       4       5       2       3       8       10        
Vardas402      Pavardė402    8       2       10      9       10      9       9       1       5       8       2         
Vardas403      Pavardė403    9       7       6       5       1       6       1       10      10      6       9         
Vardas404      Pavardė404    6       9       7       3       6       7       9       9       10      9       3         
Vardas405      Pavardė405    1       4       8       10      9       6       5       9       7       5       5         
Vardas406      Pavardė406    8       3       7       8       9       9       3       7       2       1       9         
Vardas407      Pavardė407    8       1       5       9       3       5       2       3       6       6       3         
Vardas408      Pavardė408    4       10      2       7       7       9       8       5       1       2       4         
Vardas409      Pavardė409    7       9       8       6       6       2       4       6       9       3       1         
Vardas410      Pavardė410    4       10      4       7       9       6       6       5       6       5       5         
Vardas411      Pavardė411    1       4       6       1       9       7       2       8       2       3       10        
Vardas412      Pavardė412    8       8       1       9       10      5       5       8       4       7       10        
Vardas413      Pavardė413    2       9       3       4       9       7       4       10      9       10      6         
Vardas414      Pavardė414    2       1       2       9       10      3       4       2       8       8       9         
Vardas415      Pavardė415    6       7       9       8       10      7       5       7       6       2       10        
Vardas416      Pavardė416    6       7       4       9       8       4       2       10      10      1       2         
Vardas417      Pavardė417    3       10      4       9       10      2       3       6       9       3       5         
Vardas418      Pavardė418    3       3       10      4       6       10      4       3       3       4       7         
Vardas419      Pavardė419    3       3       1       7       2       5       7       2       3       8       7         
Vardas420      Pavardė420    5       4       8       8       2       9       4       3       10      2       4         
Vardas421      Pavardė421    4       10      7       8       9       3       8       6       3       6       5         
Vardas422      Pavardė422    7       1       6       10      4       7       3       7       8       9       10        
Vardas423      Pavardė423    2       9       4       9       2       10      2       9       6       10      5         
Vardas424      Pavardė424    2       5       10      1       3       9       4       9       3       7       10        
Vardas425      Pavardė425    1       7       6       2       9       2       2       3       8       7       6         
Vardas426      Pavardė426    6       9       10      9       6       5       5       9       1       5       1         
Vardas427      Pavardė427    8       10      7       4       2       6       1       6       2       2       4         
Vardas428      Pavardė428    4       9       1       8       3       9       4       3       9       3       2         
Vardas429      Pavardė429    6       1       1       7       2       4       6       8       8       2       2         
Vardas430      Pavardė430    9       7       7       5       8       2       3       9       1       9       7         
Vardas431      Pavardė431    10      2       4       5       7       5       2       4       2       6       3         
Vardas432      Pavardė432    8       7       7       9       3       1       8       1       10      9       9         
Vardas433      Pavardė433    8       3       6       10      9       2       9       5       3       2       10        
Vardas434      Pavardė434    8       6       3       1       7       1       7       4       6       10      8         
Vardas435      Pavardė435    8       4       9       10      10      10      5       3       2       9       10        
Vardas436      Pavardė436    8       10      4       1       4       5       9       7       3       10      8         
Vardas437      Pavardė437    4       8       4       5       10      3       9       8       5       3       6         
Vardas438      Pavardė438    9       2       5       5       7       2       4       8       4       2       5         
Vardas439      Pavardė439    4       7       2       7       9       4       8       1       4       6       1         
Vardas440      Pavardė440    7       7       4       8       2       10      10      7       7       1       4         
Vardas441      Pavardė441    10      1       2       2       8       9       3       7       6       4       9         
Vardas442      Pavardė442    9       8       4       8       4       1       8       9       4       5       2         
Vardas443      Pavardė443    7       7       9       6       10      7       6       5       1       5       7         
Vardas444      Pavardė444    8       8       10      2       3       7       3       3       2       9       1         
Vardas445      Pavardė445    8       1       1       8       8       5       6       5       4       5       8         
Vardas446      Pavardė446    8       2       1       10      2       2       2       3       3       7       2         
Vardas447      Pavardė447    3       3       7       10      3       9       8       6       4       8       3         
Vardas448      Pavardė448    2       7       7       7       7       8       10      8       1       10      8         
Vardas449      Pavardė449    7       2       1       2       1       2       4       9       10      7       1         
Vardas450      Pavardė450    10      5       2       2       9       2       6       2       2       4       3         
Vardas451      Pavardė451    10      9       10      1       4       10      7       10      3       6       2         
Vardas452      Pavardė452    4       4       4       6       9       2       10      8       6       10      6         
Vardas453      Pavardė453    9       8       4       4       3       5       5       1       1       6       9         
Vardas454      Pavardė454    10      6       8       2       7       2       3       2       3       8       5         
Vardas455      Pavardė455    8       1       6       10      9       7       7       7       9       5       2         
Vardas456      Pavardė456    10      3       3       1       3       9       10      8       3       2       5         
Vardas457      Pavardė457    7       4       5       3       6       10      1       8       1       7       8         
Vardas458      Pavardė458    10      3       8       5       3       5       10      2       6       2       9         
Vardas459      Pavardė459    6       2       4       5       10      4       6       9       3       9       8         
Vardas460      Pavardė460    7       9       5       1       7       1       4       1       9       3       5         
Vardas461      Pavardė461    2       8       7       10      6       10      10      8       8       3       5         
Vardas462      Pavardė462    3       8       7       2       6       7       7       3       8       1       10        
Vardas463      Pavardė463    2       10      7       1       8       3       8       10      6       8       4         
Vardas464      Pavardė464    5       7       4       2       10      8       4       4       9       6       6         
Vardas465      Pavardė465    9       1       1       4       5       6       5       1       6       9       1         
Vardas466      Pavardė466    5       8       2       1       8       6       8       1       9       6       3         
Vardas467      Pavardė467    4       6       8       4       10      3       9       6       4       10      6         
Vardas468      Pavardė468    6       2       8       6       3       1       1       4       7       10      2         
Vardas469      Pavardė469    6       9       7       3       9       7       6       8       3       9       4         
Vardas470      Pavardė470    6       8       6       9       2       8       4       1       8       10      7         
Vardas471      Pavardė471    5       9       8       9       7       10      4       5       5       1       5         
Vardas472      Pavardė472    5       9       2       10      4       5       3       9       5       7       9         
Vardas473      Pavardė473    3       10      5       1       7       3       4       10      5       7       2         
Vardas474      Pavardė474    5       6       3       7       1       9       5       8       1       9       6         
Vardas475      Pavardė475    8       1       4       3       6       1       6       8       7       10      5         
Vardas476      Pavardė476    10      8       2       4       3       7       9       4       10      1       2         
Vardas477      Pavardė477    1       5       5       5       6       3       8       8       1       10      3         
Vardas478      Pavardė478    4       9       6       5       7       3       6       4       6       4       10        
Vardas479      Pavardė479    5       9       5       9       2       3       2       6       10      2       7         
Vardas480      Pavardė480    3       8       6       1       5       5       7       2       5       4       5         
Vardas481      Pavardė481    7       3       10      9       1       6       9       10      10      10      9         
Vardas482      Pavardė482    6       5       4       10      4       7       2       9       1       6       4         
Vardas483      Pavardė483    9       2       6       1       7       9       2       8       7       6       2         
Vardas484      Pavardė484    3       2       3       8       4       9       2       1       1       9       10        
Vardas485      Pavardė485    3       8       9       8       3       5       5       10      6       8       2         
Vardas486      Pavardė486    8       1       4       4       3       10      3       3       9       1       7         
Vardas487      Pavardė487    9       1       10      2       5       5       3       7       9       8       1         
Vardas488      Pavardė488    9       10      8       8       5       1       7       3       5       8       4         
Vardas489      Pavardė489    7       6       3       7       3       4       4       1       9       1       8         
Vardas490      Pavardė490    2       2       3       1       5       6       10      5       1       3       4         
Vardas491      Pavardė491    10      8       8       9       5       1       9       8       7       8       5         
Vardas492      Pavardė492    10      4       10      8       10      10      1       9       9       9       10        
Vardas493      Pavardė493    5       9       10      2       3       2       1       9       2       3       7         
Vardas494      Pavardė494    10      3       8       5       6       10      10      10      1       10      5         
Vardas495      Pavardė495    7       9       2       2       1       2       5       5       4       3       7         
Vardas496      Pavardė496    10      5       10      2       3       3       6       6       4       1       10        
Vardas497      Pavardė497    3       5       4       6       9       8       4       4       3       8       1         
Vardas498      Pavardė498    8       9       5       9       2       7       3       9       4       2       6         
Vardas499      Pavardė499    6       6       9       1       1       10      5       8       10      2       8         
Vardas500      Pavardė500    7       3       7       10      9       6       8       2       5       4       10        
Vardas501      Pavardė501    2       4       4       5       10      7       8       6       8       6       1         
Vardas502      Pavardė502    2       9       2       1       4       6       4       4       9       7       10        
Vardas503      Pavardė503    2       6       9       3       1       6       4       9       5       6       4         
Vardas504      Pavardė504    10      9       2       7       3       3       10      2       9       10      3         
Vardas505      Pavardė505    4       2       5       4       3       2       8       4       4       5       7         
Vardas506      Pavardė506    5       9       3       8       5       8       5       7       7       9       10        
Vardas507      Pavardė507    9       7       6       6       2       7       6       1       10      2       8         
Vardas508      Pavardė508    8       4       1       7       7       6       3       10      9       1       2         
Vardas509      Pavardė509    3       7       7       5       1       4       9       6       3       5       10        
Vardas510      Pavardė510    4       1       10      5       1       3       7       4       5       9       7         
Vardas511      Pavardė511    1       4       2       4       10      6       4       3       5       4       10        
Vardas512      Pavardė512    10      5       9       1       8       1       10      5       2       5       5         
Vardas513      Pavardė513    9       5       9       6       7       4       6       10      1       10      2         
Vardas514      Pavardė514    9       10      4       4       6       6       7       4       4       6       8         
Vardas515      Pavardė515    9       6       4       8       5       3       6       9       3       5       8         
Vardas516      Pavardė516    10      10      10      6       5       10      3       2       6       8       6         
Vardas517      Pavardė517    5       1       10      7       3       5       9       3       8       5       8         
Vardas518      Pavardė518    9       6       1       10      1       8       8       4       3       4       5         
Vardas519      Pavardė519    7       9       9       10      5       5       2       2       2       7       8         
Vardas520      Pavardė520    8       3       10      6       2       5       9       1       3       7       3         
Vardas521      Pavardė521    7       5       5       9       5       7       6       9       4       3       1         
Vardas522      Pavardė522    9       2       10      7       5       8       9       6       6       6       4         
Vardas523      Pavardė523    6       3       7       8       7       2       7       5       2       4       9         
Vardas524      Pavardė524    7       5       8       10      2       4       7       4       5       1       9         
Vardas525      Pavardė525    7       9       10      4       3       5       5       9       10      3       7         
Vardas526      Pavardė526    1       3       9       1       4       3       4       7       9       7       6         
Vardas527      Pavardė527    8       5       8       2       8       8       2       5       2       9       10        
Vardas528      Pavardė528    4       5       7       9       7       9       2       8       3       3       10        
Vardas529      Pavardė529    1       10      6       3       1       10      9       9       9       5       1         
Vardas530      Pavardė530    2       8       1       3       7       10      5       7       3       9       9         
Vardas531      Pavardė531    1       1       6       2       6       7       1       5       3       2       6         
Vardas532      Pavardė532    6       9       2       4       6       9       3       5       1       7       2         
Vardas533      Pavardė533    5       7       3       9       5       4       6       5       5       5       6         
Vardas534      Pavardė534    1       3       3       10      3       4       1       6       9       9       7         
Vardas535      Pavardė535    8       7       6       4       7       2       3       4       5       10      8         
Vardas536      Pavardė536    9       5       6       8       3       6       4       4       2       1       1         
Vardas537      Pavardė537    3       2       1       10      4       4       7       2       1       4       1         
Vardas538      Pavardė538    8       6       7       1       9       6       10      7       7       6       3         
Vardas539      Pavardė539    8       2       1       5       5       6       7       1       10      9       3         
Vardas540      Pavardė540    8       3       1       1       6       9       6       8       2       3       5         
Vardas541      Pavardė541    5       8       4       10      5       6       4       10      3       6       8         
Vardas542      Pavardė542    6       7       3       7       9       10      8       5       10      5       8         
Vardas543      Pavardė543    7       4       2       1       8       1       1       9       7       3       7         
Vardas544      Pavardė544    6       8       3       2       1       5       9       4       8       9       9         
Vardas545      Pavardė545    3       6       4       2       5       1       7       5       3       1       2         
Vardas546      Pavardė546    2       5       7       9       2       7       7       3       7       3       4         
Vardas547      Pavardė547    1       8       10      5       2       3       3       2       1       2       6         
Vardas548      Pavardė548    8       6       8       6       10      8       9       9       4       2       2         
Vardas549      Pavardė549    1       8       5       8       6       8       8       6       7       2       8         
Vardas550      Pavardė550    1       1       1       10      6       1       8       5       9       5       8         
Vardas551      Pavardė551    1       8       7       10      8       2       2       5       5       10      5         
Vardas552      Pavardė552    2       6       8       5       2       1       5       3       10      7       9         
Vardas553      Pavardė553    8       10      4       6       2       5       3       3       7       7       1         
Vardas554      Pavardė554    4       7       6       1       3       9       6       3       3       2       2         
Vardas555      Pavardė555    6       8       6       8       6       4       2       1       1       7       9         
Vardas556      Pavardė556    4       4       7       5       7       5       4       6       9       6       7         
Vardas557      Pavardė557    2       1       3       10      2       4       3       9       6       8       3         
Vardas558      Pavardė558    3       3       9       2       7       10      4       10      1       8       2         
Vardas559      Pavardė559    10      8       5       1       4       3       6       10      3       10      10        
Vardas560      Pavardė560    3       9       2       10      10      5       10      3       1       3       1         
Vardas561      Pavardė561    3       2       2       7       10      10      6       6       5       6       2         
Vardas562      Pavardė562    10      5       3       9       7       4       7       6       1       5       4         
Vardas563      Pavardė563    8       8       7       2       3       4       2       10      6       4       4         
Vardas564      Pavardė564    5       8       1       9       5       2       10      3       10      5       9         
Vardas565      Pavardė565    5       2       1       9       1       10      5       10      4       4       3         
Vardas566      Pavardė566    7       3       6       8       5       9       1       2       7       9       7         
Vardas567      Pavardė567    5       5       7       9       10      5       10      5       1       5       3         
Vardas568      Pavardė568    8       9       4       10      5       8       10      10      6       1       9         
Vardas569      Pavardė569    6       5       8       7       9       1       3       6       3       5       1         
Vardas570      Pavardė570    4       6       10      10      4       8       2       4       9       10      8         
Vardas571      Pavardė571    1       7       4       9       9       8       3       4       7       2       9         
Vardas572      Pavardė572    7       2       3       2       5       5       5       10      10      9       8         
Vardas573      Pavardė573    6       8       4       5       9       4       4       3       2       6       4         
Vardas574      Pavardė574    5       10      7       7       5       7       2       9       7       7       6         
Vardas575      Pavardė575    6       4       6       5       2       9       7       3       7       5       9         
Vardas576      Pavardė576    4       6       7       4       1       7       5       10      7       9       5         
Vardas577      Pavardė577    5       3       1       4       3       3       4       6       1       8       5         
Vardas578      Pavardė578    8       2       9       7       8       8       5       9       5       3       8         
Vardas579      Pavardė579    9       9       3       3       5       9       9       9       8       6       5         
Vardas580      Pavardė580    3       8       7       7       10      5       7       2       6       3       3         
Vardas581      Pavardė581    2       8       5       8       3       3       10      4       1       7       7         
Vardas582      Pavardė582    9       3       9       7       2       2       5       1       7       3       8         
Vardas583      Pavardė583    1       2       2       5       1       6       1       5       6       3       4         
Vardas584      Pavardė584    6       7       7       5       2       1       1       5       10      1       5         
Vardas585      Pavardė585    2       8       9       3       6       8       5       8       6       4       6         
Vardas586      Pavardė586    1       6       5       1       10      6       3       8       4       3       2         
Vardas587      Pavardė587    1       9       1       5       8       3       8       6       9       9       7         
Vardas588      Pavardė588    5       8       8       7       3       6       7       4       5       8       2         
Vardas589      Pavardė589    1       2       10      9       3       6       5       5       1       5       1         
Vardas590      Pavardė590    6       7       8       2       9       6       7       2       1       8       2         
Vardas591      Pavardė591    6       8       4       2       7       5       1       4       3       3       4         
Vardas592      Pavardė592    7       7       2       6       1       4       10      7       8       8       8         
Vardas593      Pavardė593    6       7       6       5       3       7       4       10      7       6       1         
Vardas594      Pavardė594    3       6       9       7       3       3       3       7       6       4       10        
Vardas595      Pavardė595    2       1       6       8       6       4       5       2       7       10      8         
Vardas596      Pavardė596    6       5       6       5       7       7       8       9       10      8       1         
Vardas597      Pavardė597    8       2       4       9       2       2       5       2       4       10      9         
Vardas598      Pavardė598    1       10      6       9       6       4       3       7       5       8       3         
Vardas599      Pavardė599    10      5       10      1       5       6       3       10      5       8       1         
Vardas600      Pavardė600    5       2       10      2       8       3       7       9       7       7       1         
Vardas601      Pavardė601    7       6       7       1       3       7       1       1       9       3       2         
Vardas602      Pavardė602    5       9       4       1       4       6       6       10      5       1       6         
Vardas603      Pavardė603    5       3       7       5       4       9       7       7       6       1       10        
Vardas604      Pavardė604    7       2       9       5       4       3       4       10      10      7       8         
Vardas605      Pavardė605    4       1       10      3       9       6       8       3       8       6       5         
Vardas606      Pavardė606    4       1       5       10      3       6       3       3       5       8       4         
Vardas607      Pavardė607    10      9       2       8       7       2       6       7       3       3       3         
Vardas608      Pavardė608    2       5       8       3       7       5       10      4       5       4       6         
Vardas609      Pavardė609    6       8       2       8       3       6       7       1       6       1       8         
Vardas610      Pavardė610    7       1       9       3       8       7       5       4       9       6       4         
Vardas611      Pavardė611    8       5       9       1       4       7       5       3       9       10      8         
Vardas612      Pavardė612    3       3       7       4       10      10      5       10      8       8       6         
Vardas613      Pavardė613    7       7       4       9       9       7       6       1       5       1       5         
Vardas614      Pavardė614    6       3       8       2       10      10      6       7       8       9       3         
Vardas615      Pavardė615    3       8       9       5       4       5       6       7       6       1       1         
Vardas616      Pavardė616    10      1       10      6       4       6       2       5       7       7       9         
Vardas617      Pavardė617    4       9       10      10      5       9       1       9       2       10      2         
Vardas618      Pavardė618    2       9       7       6       8       10      8       5       2       6       4         
Vardas619      Pavardė619    1       2       6       3       9       6       7       7       4       3       5         
Vardas620      Pavardė620    7       3       3       1       4       10      8       4       5       10      2         
Vardas621      Pavardė621    1       6       1       7       8       5       1       9       6       7       6         
Vardas622      Pavardė622    8       5       9       8       1       2       9       7       4       5       9         
Vardas623      Pavardė623    2       10      2       3       6       7       5       3       8       6       8         
Vardas624      Pavardė624    7       4       3       6       1       8       8       9       2       5       9         
Vardas625      Pavardė625    8       7       10      7       8       4       3       7       4       4       3         
Vardas626      Pavardė626    4       6       10      7       10      2       1       6       7       7       3         
Vardas627      Pavardė627    2       8       6       6       5       7       1       10      10      7       5         
Vardas628      Pavardė628    8       6       1       1       1       6       4       9       2       5       10        
Vardas629      Pavardė629    2       6       7       6       1       6       3       8       10      10      2         
Vardas630      Pavardė630    6       5       3       1       4       4       1       5       4       6       8         
Vardas631      Pavardė631    8       6       7       3       8       10      1       9       1       10      1         
Vardas632      Pavardė632    10      2       6       7       2       1       6       2       10      2       10        
Vardas633      Pavardė633    8       4       8       6       3       8       3       4       9       4       6         
Vardas634      Pavardė634    10      6       9       8       2       2       9       9       1       9       7         
Vardas635      Pavardė635    6       2       1       10      5       5       1       5       3       7       9         
Vardas636      Pavardė636    9       2       5       2       6       1       6       7       3       10      2         
Vardas637      Pavardė637    5       3       8       8       3       5       10      10      9       8       1         
Vardas638      Pavardė638    9       3       2       4       5       7       5       9       2       1       6         
Vardas639      Pavardė639    5       6       5       10      8       8       2       2       8       5       1         
Vardas640      Pavardė640    1       10      8       5       4       6       3       7       2       10      7         
Vardas641      Pavardė641    2       5       4       10      2       4       8       8       10      7       2         
Vardas642      Pavardė642    7       3       5       4       2       6       10      4       5       1       4         
Vardas643      Pavardė643    3       8       9       1       3       6       3       4       6       1       2         
Vardas644      Pavardė644    9       1       1       9       6       6       5       8       1       3       8         
Vardas645      Pavardė645    7       9       5       1       7       3       8       6       2       4       1         
Vardas646      Pavardė646    9       10      2       3       3       6       5       6       5       8       8         
Vardas647      Pavardė647    3       4       8       9       6       6       8       8       3       10      2         
Vardas648      Pavardė648    7       10      7       2       1       8       3       8       6       4       6         
Vardas649      Pavardė649    9       7       8       8       4       7       9       8       4       6       5         
Vardas650      Pavardė650    2       4       3       8       8       7       5       5       3       9       9         
Vardas651      Pavardė651    3       5       3       5       1       6       2       2       7       1       9         
Vardas652      Pavardė652    8       10      4       9       10      2       6       4       2       7       1         
Vardas653      Pavardė653    10      2       1       3       3       1       8       3       7       6       1         
Vardas654      Pavardė654    1       5       3       1       3       3       6       2       9       1       2         
Vardas655      Pavardė655    1       3       8       6       1       10      1       6       3       10      3         
Vardas656      Pavardė656    6       9       9       7       3       4       7       4       10      2       10        
Vardas657      Pavardė657    10      7       9       5       2       8       2       8       7       6       9         
Vardas658      Pavardė658    2       8       6       8       2       3       7       3       1       7       4         
Vardas659      Pavardė659    7       7       6       7       10      8       1       1       9       10      4         
Vardas660      Pavardė660    7       10      6       1       1       3       9       7       1       5       6         
Vardas661      Pavardė661    6       8       9       9       3       4       2       7       3       3       1         
Vardas662      Pavardė662    4       9       7       8       8       5       1       4       10      9       6         
Vardas663      Pavardė663    10      6       2       5       1       4       9       4       4       7       8         
Vardas664      Pavardė664    4       10      10      7       9       10      6       1       2       6       1         
Vardas665      Pavardė665    4       2       7       6       8       1       8       4       1       8       10        
Vardas666      Pavardė666    9       6       1       7       3       6       6       2       6       6       2         
Vardas667      Pavardė667    8       3       3       8       9       6       5       10      2       7       3         
Vardas668      Pavardė668    5       4       8       6       7       2       1       2       4       7       10        
Vardas669      Pavardė669    4       4       1       6       1       1       6       1       10      9       2         
Vardas670      Pavardė670    2       6       5       5       3       10      2       10      4       2       3         
Vardas671      Pavardė671    2       9       5       2       5       7       8       6       6       5       1         
Vardas672      Pavardė672    8       7       9       7       8       5       7       9       3       8       9         
Vardas673      Pavardė673    10      1       9       9       1       5       9       7       3       6       2         
Vardas674      Pavardė674    5       4       10      10      6       3       1       1       1       4       8         
Vardas675      Pavardė675    9       10      2       8       7       1       1       1       9       9       10        
Vardas676      Pavardė676    6       8       5       7       1       3       8       1       9       2       6         
Vardas677      Pavardė677    3       7       5       4       2       5       1       6       1       4       10        
Vardas678      Pavardė678    7       4       7       4       9       1       7       8       5       4       6         
Vardas679      Pavardė679    5       5       10      6       9       6       6       6       9       6       6         
Vardas680      Pavardė680    1       10      7       7       6       1       4       3       7       4       9         
Vardas681      Pavardė681    3       1       3       5       5       4       5       3       6       9       4         
Vardas682      Pavardė682    3       2       9       7       2       4       3       9       1       1       1         
Vardas683      Pavardė683    10      2       8       9       4       2       5       4       1       1       9         
Vardas684      Pavardė684    7       7       6       2       2       7       10      3       10      3       10        
Vardas685      Pavardė685    1       10      2       5       10      1       3       5       8       7       7         
Vardas686      Pavardė686    9       3       10      8       10      10      3       5       3       6       2         
Vardas687      Pavardė687    3       7       7       6       8       9       4       3       8       1       1         
Vardas688      Pavardė688    3       8       2       8       10      4       3       4       10      10      1         
Vardas689      Pavardė689    1       2       4       7       3       4       8       6       9       8       5         
Vardas690      Pavardė690    4       5       1       7       4       2       3       4       7       10      3         
Vardas691      Pavardė691    10      1       2       5       1       5       5       6       1       1       3         
Vardas692      Pavardė692    9       3       1       3       8       6       3       4       8       6       6         
Vardas693      Pavardė693    8       7       5       6       10      5       1       3       8       4       5         
Vardas694      Pavardė694    8       3       8       9       4       9       8       3       8       2       8         
Vardas695      Pavardė695    2       3       8       3       3       6       3       3       2       3       6         
Vardas696      Pavardė696    1       8       7       1       1       1       9       10      5       9       7         
Vardas697      Pavardė697    8       8       6       9       10      5       4       1       4       6       10        
Vardas698      Pavardė698    7       4       8       5       7       1       6       1       4       9       4         
Vardas699      Pavardė699    4       8       8       3       2       3       7       3       3       9       9         
Vardas700      Pavardė700    1       4       1       1       2       2       8       9       8       5       1         
Vardas701      Pavardė701    3       7       4       6       10      1       9       8       4       4       10        
Vardas702      Pavardė702    3       9       9       1       8       7       9       9       10      5       2         
Vardas703      Pavardė703    6       9       1       9       3       4       10      9       8       3       3         
Vardas704      Pavardė704    2       10      1       1       9       4       6       7       9       7       2         
Vardas705      Pavardė705    9       8       9       5       9       4       1       1       1       9       5         
Vardas706      Pavardė706    1       5       9       1       4       2       9       5       3       4       2         
Vardas707      Pavardė707    8       10      5       6       1       5       3       10      6       4       9         
Vardas708      Pavardė708    6       3       7       9       2       7       5       2       9       1       7         
Vardas709      Pavardė709    1       6       9       9       2       6       3       10      3       1       1         
Vardas710      Pavardė710    2       2       3       8       10      2       10      3       7       9       3         
Vardas711      Pavardė711    1       10      7       6       9       8       5       6       9       6       8         
Vardas712      Pavardė712    10      5       5       5       6       5       3       10      10      1       8         
Vardas713      Pavardė713    6       4       8       10      6       4       9       6       1       6       3         
Vardas714      Pavardė714    6       1       4       2       1       3       6       9       3       5       6         
Vardas715      Pavardė715    10      9       4       2       3       2       4       8       8       8       8         
Vardas716      Pavardė716    4       1       7       8       8       1       7       3       6       2       3         
Vardas717      Pavardė717    6       1       7       2       10      10      4       10      9       7       7         
Vardas718      Pavardė718    10      1       1       4       4       9       4       5       1       1       4         
Vardas719      Pavardė719    4       9       2       6       8       7       9       3       7       2       3         
Vardas720      Pavardė720    2       10      10      3       7       8       8       4       3       6       10        
Vardas721      Pavardė721    5       6       6       10      8       6       5       3       6       2       7         
Vardas722      Pavardė722    8       6       9       5       3       9       9       10      9       9       2         
Vardas723      Pavardė723    2       4       6       4       9       9       10      7       8       1       4         
Vardas724      Pavardė724    10      7       5       5       3       10      7       3       3       4       2         
Vardas725      Pavardė725    2       6       5       10      7       10      4       5       7       7       1         
Vardas726      Pavardė726    10      9       2       9       7       5       2       2       9       5       4         
Vardas727      Pavardė727    5       4       10      9       9       6       5       8       5       7       2         
Vardas728      Pavardė728    2       7       6       6       6       7       7       5       1       7       7         
Vardas729      Pavardė729    5       1       4       8       1       4       4       2       1       8       3         
Vardas730      Pavardė730    8       1       3       5       9       8       8       4       2       7       10        
Vardas731      Pavardė731    7       6       10      1       5       9       7       5       2       8       3         
Vardas732      Pavardė732    5       4       5       5       3       1       5       8       6       4       1         
Vardas733      Pavardė733    8       8       5       6       2       6       6       8       6       8       6         
Vardas734      Pavardė734    1       2       9       3       5       2       6       4       6       7       6         
Vardas735      Pavardė735    8       6       8       5       4       1       5       6       7       4       2         
Vardas736      Pavardė736    6       3       7       4       4       9       6       5       6       9       6         
Vardas737      Pavardė737    5       8       10      1       8       5       1       3       4       6       3         
Vardas738      Pavardė738    5       8       8       7       9       1       10      10      10      5       6         
Vardas739      Pavardė739    8       8       5       7       7       3       1       5       1       5       8         
Vardas740      Pavardė740    8       3       9       5       7       6       9       8       2       9       7         
Vardas741      Pavardė741    1       1       4       2       5       7       3       2       5       8       1         
Vardas742      Pavardė742    4       7       7       7       9       5       1       2       1       4       5         
Vardas743      Pavardė743    5       1       2       8       6       5       9       3       6       5       6         
Vardas744      Pavardė744    6       1       10      5       6       9       3       4       6       6       7         
Vardas745      Pavardė745    1       7       8       5       3       7       3       4       8       5       10        
Vardas746      Pavardė746    8       5       4       10      6       6       10      5       5       4       3         
Vardas747      Pavardė747    10      5       8       6       4       9       7       4       7       4       7         
Vardas748      Pavardė748    5       9       1       6       9       6       4       6       2       3       10        
Vardas749      Pavardė749    1       1       6       7       8       8       8       4       10      1       8         
Vardas750      Pavardė750    8       2       7       1       8       3       9       2       1       7       7         
Vardas751      Pavardė751    4       2       3       8       9       3       6       8       9       2       1         
Vardas752      Pavardė752    2       1       5       9       8       8       7       2       7       10      9         
Vardas753      Pavardė753    1       8       8       5       4       9       6       1       5       5       1         
Vardas754      Pavardė754    8       2       10      6       1       2       4       10      4       3       9         
Vardas755      Pavardė755    1       3       7       5       8       10      9       8       9       7       9         
Vardas756      Pavardė756    7       2       9       1       7       3       5       1       7       8       10        
Vardas757      Pavardė757    10      8       2       9       6       4       2       3       7       2       3         
Vardas758      Pavardė758    3       1       6       5       8       5       4       2       5       10      8         
Vardas759      Pavardė759    6       8       5       4       3       9       2       1       2       2       5         
Vardas760      Pavardė760    5       7       1       10      8       6       6       6       8       3       2         
Vardas761      Pavardė761    1       3       6       9       3       6       5       4       7       2       5         
Vardas762      Pavardė762    1       7       8       2       9       8       5       7       3       6       2         
Vardas763      Pavardė763    5       8       4       10      7       3       5       4       8       3       2         
Vardas764      Pavardė764    8       3       5       5       9       8       5       3       7       5       10        
Vardas765      Pavardė765    2       8       10      10      9       4       3       7       1       6       2         
Vardas766      Pavardė766    6       6       6       5       8       7       3       5       2       2       7         
Vardas767      Pavardė767    8       3       8       5       8       5       4       8       5       4       8         
Vardas768      Pavardė768    7       3       6       3       4       5       6       3       8       6       4         
Vardas769      Pavardė769    7       10      7       7       7       6       8       9       8       5       3         
Vardas770      Pavardė770    3       9       1       6       8       3       7       3       5       8       7         
Vardas771      Pavardė771    3       3       1       7       9       2       8       1       1       9       5         
Vardas772      Pavardė772    10      3       10      2       1       2       8       8       6       2       4         
