Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
Vardas17868      Pavardė17868    5.76                6.00                
Vardas17871      Pavardė17871    5.64                5.60                
Vardas17872      Pavardė17872    7.88                8.00                
Vardas17873      Pavardė17873    7.44                7.20                
Vardas17876      Pavardė17876    5.52                5.60                
Vardas17878      Pavardė17878    5.96                5.60                
Vardas17879      Pavardė17879    8.12                8.20                
Vardas17880      Pavardė17880    7.40                7.20                
Vardas17882      Pavardė17882    5.40                5.40                
Vardas17883      Pavardė17883    7.48                7.60                
Vardas17885      Pavardė17885    6.04                6.00                
Vardas17886      Pavardė17886    5.08                5.20                
Vardas17887      Pavardė17887    8.36                8.60                
Vardas17892      Pavardė17892    8.32                8.40                
Vardas17894      Pavardė17894    5.84                6.20                
Vardas17895      Pavardė17895    7.92                8.00                
Vardas17896      Pavardė17896    7.20                7.40                
Vardas17897      Pavardė17897    6.08                5.60                
Vardas17899      Pavardė17899    5.96                6.20                
Vardas17900      Pavardė17900    7.04                7.00                
Vardas17901      Pavardė17901    6.96                6.60                
Vardas17902      Pavardė17902    6.72                6.60                
Vardas17903      Pavardė17903    6.72                6.40                
Vardas17904      Pavardė17904    5.88                6.20                
Vardas17905      Pavardė17905    6.92                6.80                
Vardas17906      Pavardė17906    5.24                5.40                
Vardas17907      Pavardė17907    5.92                5.60                
Vardas17908      Pavardė17908    7.52                7.00                
Vardas17909      Pavardė17909    6.04                6.40                
Vardas17910      Pavardė17910    8.64                9.00                
Vardas17911      Pavardė17911    6.28                6.00                
Vardas17913      Pavardė17913    8.28                8.20                
Vardas17914      Pavardė17914    6.88                6.80                
Vardas17915      Pavardė17915    5.92                6.00                
Vardas17916      Pavardė17916    5.48                5.20                
Vardas17917      Pavardė17917    7.52                7.00                
Vardas17918      Pavardė17918    7.36                7.00                
Vardas17919      Pavardė17919    5.64                5.80                
Vardas17921      Pavardė17921    6.28                6.20                
Vardas17924      Pavardė17924    6.68                6.60                
Vardas17925      Pavardė17925    6.96                7.40                
Vardas17928      Pavardė17928    6.72                6.60                
Vardas17929      Pavardė17929    7.00                7.00                
Vardas17930      Pavardė17930    5.36                5.40                
Vardas17935      Pavardė17935    6.32                6.60                
Vardas17938      Pavardė17938    7.44                7.40                
Vardas17939      Pavardė17939    6.68                6.60                
Vardas17941      Pavardė17941    5.64                6.00                
Vardas17942      Pavardė17942    7.72                8.20                
Vardas17943      Pavardė17943    8.24                8.20                
Vardas17944      Pavardė17944    7.08                7.20                
Vardas17945      Pavardė17945    7.72                7.20                
Vardas17947      Pavardė17947    7.48                7.80                
Vardas17949      Pavardė17949    7.44                7.80                
Vardas17951      Pavardė17951    8.16                8.40                
Vardas17952      Pavardė17952    6.24                6.00                
Vardas17954      Pavardė17954    6.48                6.60                
Vardas17955      Pavardė17955    7.40                7.40                
Vardas17956      Pavardė17956    7.16                7.20                
Vardas17957      Pavardė17957    6.44                6.40                
Vardas17959      Pavardė17959    7.80                7.40                
Vardas17961      Pavardė17961    6.56                6.60                
Vardas17963      Pavardė17963    5.52                5.60                
Vardas17964      Pavardė17964    7.72                8.20                
Vardas17965      Pavardė17965    8.44                8.60                
Vardas17966      Pavardė17966    5.84                6.20                
Vardas17967      Pavardė17967    7.36                7.20                
Vardas17968      Pavardė17968    5.24                5.00                
Vardas17969      Pavardė17969    5.12                4.60                
Vardas17970      Pavardė17970    6.32                6.40                
Vardas17971      Pavardė17971    5.20                5.40                
Vardas17972      Pavardė17972    7.96                7.80                
Vardas17974      Pavardė17974    6.24                6.20                
Vardas17977      Pavardė17977    7.60                7.40                
Vardas17978      Pavardė17978    6.04                5.60                
Vardas17979      Pavardė17979    9.00                9.20                
Vardas17981      Pavardė17981    6.36                5.80                
Vardas17982      Pavardė17982    7.12                6.80                
Vardas17986      Pavardė17986    5.20                4.60                
Vardas17987      Pavardė17987    8.12                8.20                
Vardas17988      Pavardė17988    6.32                6.40                
Vardas17991      Pavardė17991    7.84                8.00                
Vardas17992      Pavardė17992    6.52                6.40                
Vardas17994      Pavardė17994    7.04                6.80                
Vardas17995      Pavardė17995    7.80                7.80                
Vardas17996      Pavardė17996    6.20                6.20                
Vardas17997      Pavardė17997    6.28                6.60                
Vardas17998      Pavardė17998    7.52                7.40                
Vardas18002      Pavardė18002    6.52                6.80                
Vardas18005      Pavardė18005    6.04                6.20                
Vardas18006      Pavardė18006    5.68                5.40                
Vardas18007      Pavardė18007    5.80                6.20                
Vardas18008      Pavardė18008    6.00                5.60                
Vardas18009      Pavardė18009    7.72                7.40                
Vardas18010      Pavardė18010    7.40                7.40                
Vardas18014      Pavardė18014    6.48                6.60                
Vardas18017      Pavardė18017    7.96                7.80                
Vardas18018      Pavardė18018    5.72                5.60                
Vardas18019      Pavardė18019    7.96                7.60                
Vardas18021      Pavardė18021    5.64                6.20                
Vardas18022      Pavardė18022    6.80                6.60                
Vardas18027      Pavardė18027    7.20                7.40                
Vardas18028      Pavardė18028    5.60                5.80                
Vardas18029      Pavardė18029    7.96                8.00                
Vardas18032      Pavardė18032    5.04                5.20                
Vardas18033      Pavardė18033    6.88                7.00                
Vardas18034      Pavardė18034    8.12                8.00                
Vardas18035      Pavardė18035    6.80                6.60                
Vardas18036      Pavardė18036    5.96                6.60                
Vardas18037      Pavardė18037    8.28                8.40                
Vardas18038      Pavardė18038    6.32                6.60                
Vardas18040      Pavardė18040    6.00                5.60                
Vardas18041      Pavardė18041    8.36                8.40                
Vardas18042      Pavardė18042    7.60                7.40                
Vardas18043      Pavardė18043    5.16                4.80                
Vardas18044      Pavardė18044    7.56                7.00                
Vardas18045      Pavardė18045    7.40                7.60                
Vardas18046      Pavardė18046    7.72                7.80                
Vardas18047      Pavardė18047    8.56                9.20                
Vardas18048      Pavardė18048    6.88                7.00                
Vardas18049      Pavardė18049    5.60                5.80                
Vardas18050      Pavardė18050    7.64                7.20                
Vardas18052      Pavardė18052    7.20                7.40                
Vardas18053      Pavardė18053    5.80                6.20                
Vardas18054      Pavardė18054    5.60                5.80                
Vardas18056      Pavardė18056    5.52                5.60                
Vardas18057      Pavardė18057    6.12                6.40                
Vardas18059      Pavardė18059    8.64                9.20                
Vardas18061      Pavardė18061    5.24                4.60                
Vardas18063      Pavardė18063    5.76                6.20                
Vardas18065      Pavardė18065    9.00                8.80                
Vardas18067      Pavardė18067    8.12                8.20                
Vardas18068      Pavardė18068    5.32                5.20                
Vardas18072      Pavardė18072    6.04                6.40                
Vardas18073      Pavardė18073    5.44                5.60                
Vardas18074      Pavardė18074    8.68                9.00                
Vardas18075      Pavardė18075    6.84                7.00                
Vardas18077      Pavardė18077    7.12                7.20                
Vardas18079      Pavardė18079    7.00                7.00                
Vardas18086      Pavardė18086    5.48                5.00                
Vardas18090      Pavardė18090    5.16                5.20                
Vardas18094      Pavardė18094    8.60                9.20                
Vardas18095      Pavardė18095    7.56                7.40                
Vardas18096      Pavardė18096    5.04                5.20                
Vardas18097      Pavardė18097    6.24                6.20                
Vardas18098      Pavardė18098    7.08                7.40                
Vardas18099      Pavardė18099    8.80                9.60                
Vardas18100      Pavardė18100    6.36                6.60                
Vardas18107      Pavardė18107    5.60                5.40                
Vardas18110      Pavardė18110    6.04                6.00                
Vardas18111      Pavardė18111    5.52                5.60                
Vardas18112      Pavardė18112    5.88                5.60                
Vardas18114      Pavardė18114    6.28                6.20                
Vardas18115      Pavardė18115    7.96                7.80                
Vardas18119      Pavardė18119    5.76                5.60                
Vardas18122      Pavardė18122    5.36                5.20                
Vardas18123      Pavardė18123    5.88                5.40                
Vardas18124      Pavardė18124    7.36                7.60                
Vardas18125      Pavardė18125    8.20                8.00                
Vardas18126      Pavardė18126    7.32                7.20                
Vardas18127      Pavardė18127    7.88                8.40                
Vardas18128      Pavardė18128    7.12                7.40                
Vardas18130      Pavardė18130    7.48                7.40                
Vardas18132      Pavardė18132    7.68                7.60                
Vardas18135      Pavardė18135    5.96                6.20                
Vardas18136      Pavardė18136    6.00                5.60                
Vardas18137      Pavardė18137    6.52                6.20                
Vardas18139      Pavardė18139    6.72                6.80                
Vardas18140      Pavardė18140    5.44                5.40                
Vardas18141      Pavardė18141    6.80                6.80                
Vardas18143      Pavardė18143    7.92                7.40                
Vardas18144      Pavardė18144    5.52                6.00                
Vardas18145      Pavardė18145    5.36                5.40                
Vardas18146      Pavardė18146    8.08                8.20                
Vardas18149      Pavardė18149    8.24                8.00                
Vardas18150      Pavardė18150    6.80                6.60                
Vardas18153      Pavardė18153    7.88                7.40                
Vardas18157      Pavardė18157    5.64                5.80                
Vardas18158      Pavardė18158    8.04                8.00                
Vardas18160      Pavardė18160    7.60                7.60                
Vardas18163      Pavardė18163    7.96                8.20                
Vardas18167      Pavardė18167    7.44                7.20                
Vardas18169      Pavardė18169    7.08                7.00                
Vardas18170      Pavardė18170    7.44                7.40                
Vardas18171      Pavardė18171    7.88                8.40                
Vardas18173      Pavardė18173    8.36                8.40                
Vardas18174      Pavardė18174    5.24                5.40                
Vardas18179      Pavardė18179    8.20                8.20                
Vardas18181      Pavardė18181    5.64                5.00                
Vardas18182      Pavardė18182    7.12                7.00                
Vardas18183      Pavardė18183    6.12                6.40                
Vardas18184      Pavardė18184    6.56                6.80                
Vardas18187      Pavardė18187    7.24                7.20                
Vardas18190      Pavardė18190    6.72                6.40                
Vardas18191      Pavardė18191    7.44                7.00                
Vardas18192      Pavardė18192    7.28                7.40                
Vardas18193      Pavardė18193    7.24                7.20                
Vardas18194      Pavardė18194    5.16                5.00                
Vardas18196      Pavardė18196    6.52                7.00                
Vardas18199      Pavardė18199    6.04                6.20                
Vardas18200      Pavardė18200    7.96                8.00                
Vardas18202      Pavardė18202    6.56                6.80                
Vardas18203      Pavardė18203    7.40                7.00                
Vardas18206      Pavardė18206    7.68                7.60                
Vardas18207      Pavardė18207    5.84                5.60                
Vardas18208      Pavardė18208    7.08                7.20                
Vardas18209      Pavardė18209    7.48                7.20                
Vardas18211      Pavardė18211    8.48                8.60                
Vardas18212      Pavardė18212    5.20                5.60                
Vardas18215      Pavardė18215    8.28                8.40                
Vardas18216      Pavardė18216    7.20                7.40                
Vardas18217      Pavardė18217    5.20                5.40                
Vardas18221      Pavardė18221    5.56                6.20                
Vardas18222      Pavardė18222    7.20                7.00                
Vardas18223      Pavardė18223    7.64                7.60                
Vardas18226      Pavardė18226    7.08                7.00                
Vardas18227      Pavardė18227    5.84                5.80                
Vardas18229      Pavardė18229    5.60                5.60                
Vardas18232      Pavardė18232    5.92                6.20                
Vardas18233      Pavardė18233    5.40                5.80                
Vardas18238      Pavardė18238    7.68                7.80                
Vardas18239      Pavardė18239    5.04                5.20                
Vardas18242      Pavardė18242    5.72                6.20                
Vardas18243      Pavardė18243    7.32                7.60                
Vardas18245      Pavardė18245    7.80                8.20                
Vardas18246      Pavardė18246    7.08                7.20                
Vardas18248      Pavardė18248    6.80                7.20                
Vardas18249      Pavardė18249    5.56                5.80                
Vardas18251      Pavardė18251    7.40                7.20                
Vardas18255      Pavardė18255    5.52                5.40                
Vardas18256      Pavardė18256    6.52                6.40                
Vardas18257      Pavardė18257    7.20                7.00                
Vardas18260      Pavardė18260    7.72                7.80                
Vardas18261      Pavardė18261    6.44                6.60                
Vardas18262      Pavardė18262    7.28                7.20                
Vardas18264      Pavardė18264    6.92                7.00                
Vardas18265      Pavardė18265    8.80                9.00                
Vardas18266      Pavardė18266    8.32                7.80                
Vardas18267      Pavardė18267    8.24                8.20                
Vardas18268      Pavardė18268    5.32                5.80                
Vardas18272      Pavardė18272    8.00                8.00                
Vardas18273      Pavardė18273    6.96                7.20                
Vardas18274      Pavardė18274    7.28                7.40                
Vardas18278      Pavardė18278    6.96                7.20                
Vardas18280      Pavardė18280    6.00                6.20                
Vardas18281      Pavardė18281    6.24                6.20                
Vardas18282      Pavardė18282    7.24                7.00                
Vardas18283      Pavardė18283    7.92                7.60                
Vardas18284      Pavardė18284    7.32                7.20                
Vardas18285      Pavardė18285    6.96                6.60                
Vardas18286      Pavardė18286    7.56                7.60                
Vardas18289      Pavardė18289    6.40                6.60                
Vardas18290      Pavardė18290    6.12                6.60                
Vardas18294      Pavardė18294    5.44                4.80                
Vardas18299      Pavardė18299    7.60                8.00                
Vardas18302      Pavardė18302    6.64                6.80                
Vardas18304      Pavardė18304    7.60                7.40                
Vardas18310      Pavardė18310    7.24                7.40                
Vardas18312      Pavardė18312    6.80                6.40                
Vardas18315      Pavardė18315    6.28                6.20                
Vardas18316      Pavardė18316    6.16                6.40                
Vardas18317      Pavardė18317    5.88                5.80                
Vardas18318      Pavardė18318    6.60                6.40                
Vardas18319      Pavardė18319    7.64                7.60                
Vardas18320      Pavardė18320    7.28                7.20                
Vardas18322      Pavardė18322    7.48                7.40                
Vardas18323      Pavardė18323    7.28                7.20                
Vardas18324      Pavardė18324    8.00                8.00                
Vardas18325      Pavardė18325    5.00                5.00                
Vardas18326      Pavardė18326    7.80                7.40                
Vardas18329      Pavardė18329    8.68                8.80                
Vardas18330      Pavardė18330    8.40                8.80                
Vardas18331      Pavardė18331    7.00                7.40                
Vardas18332      Pavardė18332    5.32                5.80                
Vardas18333      Pavardė18333    8.16                8.00                
Vardas18334      Pavardė18334    7.80                7.80                
Vardas18336      Pavardė18336    5.56                5.20                
Vardas18338      Pavardė18338    6.84                7.00                
Vardas18343      Pavardė18343    7.80                8.00                
Vardas18344      Pavardė18344    5.40                5.60                
Vardas18346      Pavardė18346    5.96                6.00                
Vardas18349      Pavardė18349    8.08                7.80                
Vardas18351      Pavardė18351    7.44                7.60                
Vardas18352      Pavardė18352    7.48                7.80                
Vardas18353      Pavardė18353    7.88                7.80                
Vardas18355      Pavardė18355    6.56                6.20                
Vardas18356      Pavardė18356    6.00                5.60                
Vardas18357      Pavardė18357    6.96                7.40                
Vardas18358      Pavardė18358    8.48                8.80                
Vardas18359      Pavardė18359    7.60                7.80                
Vardas18360      Pavardė18360    8.24                8.60                
Vardas18363      Pavardė18363    5.84                5.80                
Vardas18365      Pavardė18365    5.96                5.60                
Vardas18366      Pavardė18366    6.00                5.60                
Vardas18372      Pavardė18372    6.60                7.20                
Vardas18373      Pavardė18373    6.52                7.00                
Vardas18374      Pavardė18374    5.96                6.00                
Vardas18375      Pavardė18375    7.96                8.40                
Vardas18376      Pavardė18376    7.64                7.80                
Vardas18377      Pavardė18377    7.88                8.20                
Vardas18378      Pavardė18378    6.64                6.80                
Vardas18379      Pavardė18379    6.08                6.20                
Vardas18381      Pavardė18381    8.76                8.80                
Vardas18383      Pavardė18383    6.32                6.60                
Vardas18385      Pavardė18385    6.28                6.60                
Vardas18386      Pavardė18386    8.56                8.20                
Vardas18387      Pavardė18387    5.24                5.00                
Vardas18388      Pavardė18388    7.60                7.80                
Vardas18389      Pavardė18389    5.44                5.60                
Vardas18390      Pavardė18390    5.84                5.80                
Vardas18391      Pavardė18391    6.84                6.80                
Vardas18392      Pavardė18392    8.16                8.40                
Vardas18395      Pavardė18395    7.32                7.20                
Vardas18396      Pavardė18396    7.68                7.80                
Vardas18397      Pavardė18397    5.48                5.20                
Vardas18398      Pavardė18398    7.36                7.40                
Vardas18399      Pavardė18399    7.12                7.00                
Vardas18400      Pavardė18400    6.56                6.40                
Vardas18404      Pavardė18404    6.12                6.00                
Vardas18405      Pavardė18405    5.84                6.00                
Vardas18406      Pavardė18406    7.48                7.20                
Vardas18407      Pavardė18407    7.08                7.00                
Vardas18411      Pavardė18411    5.52                5.20                
Vardas18414      Pavardė18414    8.04                8.00                
Vardas18416      Pavardė18416    5.84                6.00                
Vardas18417      Pavardė18417    8.64                8.80                
Vardas18418      Pavardė18418    5.84                6.20                
Vardas18422      Pavardė18422    7.96                8.00                
Vardas18423      Pavardė18423    5.92                5.80                
Vardas18424      Pavardė18424    7.16                7.60                
Vardas18426      Pavardė18426    5.08                5.00                
Vardas18427      Pavardė18427    5.80                6.20                
Vardas18428      Pavardė18428    6.84                6.80                
Vardas18429      Pavardė18429    8.48                8.40                
Vardas18431      Pavardė18431    7.48                7.60                
Vardas18432      Pavardė18432    5.72                5.60                
Vardas18434      Pavardė18434    5.44                5.60                
Vardas18435      Pavardė18435    8.04                7.80                
Vardas18439      Pavardė18439    6.16                6.40                
Vardas18440      Pavardė18440    7.68                7.80                
Vardas18442      Pavardė18442    8.12                8.00                
Vardas18443      Pavardė18443    6.20                6.20                
Vardas18444      Pavardė18444    8.16                7.60                
Vardas18445      Pavardė18445    7.84                7.40                
Vardas18446      Pavardė18446    7.96                7.80                
Vardas18448      Pavardė18448    5.08                5.00                
Vardas18449      Pavardė18449    5.28                5.20                
Vardas18450      Pavardė18450    5.68                5.20                
Vardas18452      Pavardė18452    7.28                6.60                
Vardas18453      Pavardė18453    8.32                8.60                
Vardas18455      Pavardė18455    5.36                5.60                
Vardas18457      Pavardė18457    7.76                7.60                
Vardas18458      Pavardė18458    7.56                7.60                
Vardas18459      Pavardė18459    7.52                7.40                
Vardas18460      Pavardė18460    7.72                7.60                
Vardas18461      Pavardė18461    5.80                5.80                
Vardas18462      Pavardė18462    6.68                6.80                
Vardas18463      Pavardė18463    6.84                7.00                
Vardas18464      Pavardė18464    6.80                6.60                
Vardas18466      Pavardė18466    6.16                6.40                
Vardas18467      Pavardė18467    7.52                7.00                
Vardas18468      Pavardė18468    8.52                8.40                
Vardas18469      Pavardė18469    9.12                9.20                
Vardas18470      Pavardė18470    8.08                8.60                
Vardas18473      Pavardė18473    7.08                7.20                
Vardas18474      Pavardė18474    6.44                6.80                
Vardas18475      Pavardė18475    5.88                5.60                
Vardas18476      Pavardė18476    5.00                5.00                
Vardas18477      Pavardė18477    8.36                8.00                
Vardas18478      Pavardė18478    6.76                6.80                
Vardas18479      Pavardė18479    7.48                7.60                
Vardas18480      Pavardė18480    7.04                7.40                
Vardas18484      Pavardė18484    6.24                6.40                
Vardas18485      Pavardė18485    5.40                5.20                
Vardas18487      Pavardė18487    6.44                7.00                
Vardas18488      Pavardė18488    5.88                5.80                
Vardas18491      Pavardė18491    5.60                5.80                
Vardas18492      Pavardė18492    7.08                6.60                
Vardas18493      Pavardė18493    5.40                5.00                
Vardas18494      Pavardė18494    6.64                7.00                
Vardas18495      Pavardė18495    5.28                5.20                
Vardas18499      Pavardė18499    6.84                6.80                
Vardas18503      Pavardė18503    6.36                6.40                
Vardas18504      Pavardė18504    6.56                6.40                
Vardas18505      Pavardė18505    6.68                6.60                
Vardas18506      Pavardė18506    5.68                5.80                
Vardas18508      Pavardė18508    5.48                5.60                
Vardas18509      Pavardė18509    5.52                5.80                
Vardas18510      Pavardė18510    7.80                8.40                
Vardas18513      Pavardė18513    7.24                7.20                
Vardas18514      Pavardė18514    7.80                7.80                
Vardas18518      Pavardė18518    5.28                4.80                
Vardas18520      Pavardė18520    6.52                6.40                
Vardas18522      Pavardė18522    7.84                8.00                
Vardas18524      Pavardė18524    7.44                7.00                
Vardas18525      Pavardė18525    6.40                6.00                
Vardas18526      Pavardė18526    6.60                6.40                
Vardas18528      Pavardė18528    7.52                7.20                
Vardas18529      Pavardė18529    7.24                7.40                
Vardas18530      Pavardė18530    7.64                7.60                
Vardas18532      Pavardė18532    7.20                7.00                
Vardas18533      Pavardė18533    7.48                7.20                
Vardas18534      Pavardė18534    7.88                7.40                
Vardas18535      Pavardė18535    5.44                5.40                
Vardas18536      Pavardė18536    5.88                5.80                
Vardas18538      Pavardė18538    6.84                7.00                
Vardas18539      Pavardė18539    7.00                7.00                
Vardas18540      Pavardė18540    6.76                6.80                
Vardas18542      Pavardė18542    5.16                4.60                
Vardas18545      Pavardė18545    6.88                6.80                
Vardas18546      Pavardė18546    6.88                6.60                
Vardas18548      Pavardė18548    5.84                5.80                
Vardas18550      Pavardė18550    8.68                9.20                
Vardas18551      Pavardė18551    6.04                6.60                
Vardas18552      Pavardė18552    6.96                7.00                
Vardas18553      Pavardė18553    7.88                8.00                
Vardas18554      Pavardė18554    5.04                5.00                
Vardas18556      Pavardė18556    6.84                6.80                
Vardas18557      Pavardė18557    5.52                6.00                
Vardas18558      Pavardė18558    6.60                6.60                
Vardas18559      Pavardė18559    8.60                8.80                
Vardas18561      Pavardė18561    7.72                8.00                
Vardas18562      Pavardė18562    7.00                6.80                
Vardas18565      Pavardė18565    8.24                8.40                
Vardas18566      Pavardė18566    5.36                5.20                
Vardas18567      Pavardė18567    6.40                6.20                
Vardas18568      Pavardė18568    7.32                7.40                
Vardas18571      Pavardė18571    6.92                6.60                
Vardas18572      Pavardė18572    8.52                9.20                
Vardas18574      Pavardė18574    7.16                7.20                
Vardas18575      Pavardė18575    6.52                6.40                
Vardas18576      Pavardė18576    6.40                6.40                
Vardas18578      Pavardė18578    7.08                6.80                
Vardas18580      Pavardė18580    6.08                6.40                
Vardas18583      Pavardė18583    5.40                5.60                
Vardas18584      Pavardė18584    5.56                5.00                
Vardas18585      Pavardė18585    5.04                4.80                
Vardas18586      Pavardė18586    7.32                7.40                
Vardas18591      Pavardė18591    7.88                7.80                
Vardas18592      Pavardė18592    7.28                7.80                
Vardas18594      Pavardė18594    6.40                6.60                
Vardas18596      Pavardė18596    5.92                5.60                
Vardas18600      Pavardė18600    7.12                7.00                
Vardas18603      Pavardė18603    5.88                6.00                
Vardas18604      Pavardė18604    9.04                9.60                
Vardas18607      Pavardė18607    8.32                8.40                
Vardas18608      Pavardė18608    6.24                6.40                
Vardas18609      Pavardė18609    8.28                8.40                
Vardas18610      Pavardė18610    7.48                7.40                
Vardas18611      Pavardė18611    7.80                7.80                
Vardas18614      Pavardė18614    6.92                7.00                
Vardas18615      Pavardė18615    6.04                6.00                
Vardas18616      Pavardė18616    6.44                7.00                
Vardas18617      Pavardė18617    7.44                7.00                
Vardas18620      Pavardė18620    7.24                7.40                
Vardas18621      Pavardė18621    6.48                6.80                
Vardas18622      Pavardė18622    8.16                8.40                
Vardas18625      Pavardė18625    8.28                8.40                
Vardas18626      Pavardė18626    5.16                4.80                
Vardas18628      Pavardė18628    7.80                7.80                
Vardas18630      Pavardė18630    7.52                7.40                
Vardas18631      Pavardė18631    6.28                6.00                
Vardas18632      Pavardė18632    5.80                6.20                
Vardas18634      Pavardė18634    5.20                4.80                
Vardas18636      Pavardė18636    7.92                8.60                
Vardas18637      Pavardė18637    7.24                7.40                
Vardas18638      Pavardė18638    7.64                7.80                
Vardas18640      Pavardė18640    5.52                5.60                
Vardas18642      Pavardė18642    7.88                7.80                
Vardas18643      Pavardė18643    5.76                5.80                
Vardas18644      Pavardė18644    5.48                5.60                
Vardas18645      Pavardė18645    8.04                8.20                
Vardas18647      Pavardė18647    7.88                7.60                
Vardas18650      Pavardė18650    6.88                7.00                
Vardas18651      Pavardė18651    5.24                5.40                
Vardas18655      Pavardė18655    5.12                5.20                
Vardas18657      Pavardė18657    7.72                8.00                
Vardas18658      Pavardė18658    5.56                5.80                
Vardas18660      Pavardė18660    8.00                8.00                
Vardas18661      Pavardė18661    6.68                6.80                
Vardas18662      Pavardė18662    6.80                6.80                
Vardas18663      Pavardė18663    7.92                8.40                
Vardas18664      Pavardė18664    6.64                6.80                
Vardas18666      Pavardė18666    7.84                8.00                
Vardas18668      Pavardė18668    8.48                8.40                
Vardas18670      Pavardė18670    5.12                5.00                
Vardas18673      Pavardė18673    5.88                5.80                
Vardas18675      Pavardė18675    5.64                5.40                
Vardas18676      Pavardė18676    7.32                7.20                
Vardas18677      Pavardė18677    6.92                6.80                
Vardas18678      Pavardė18678    5.00                5.00                
Vardas18679      Pavardė18679    8.76                8.80                
Vardas18680      Pavardė18680    7.32                7.60                
Vardas18681      Pavardė18681    6.76                7.20                
Vardas18682      Pavardė18682    5.00                5.00                
Vardas18684      Pavardė18684    5.16                5.40                
Vardas18686      Pavardė18686    5.68                5.60                
Vardas18687      Pavardė18687    6.04                6.00                
Vardas18689      Pavardė18689    5.00                5.00                
Vardas18691      Pavardė18691    5.92                5.40                
Vardas18692      Pavardė18692    5.64                5.80                
Vardas18694      Pavardė18694    6.04                6.40                
Vardas18697      Pavardė18697    6.60                6.40                
Vardas18698      Pavardė18698    6.92                7.00                
Vardas18701      Pavardė18701    5.08                5.40                
Vardas18702      Pavardė18702    7.52                8.00                
Vardas18703      Pavardė18703    8.28                8.40                
Vardas18704      Pavardė18704    7.80                7.40                
Vardas18705      Pavardė18705    6.96                7.20                
Vardas18708      Pavardė18708    5.12                5.20                
Vardas18709      Pavardė18709    5.28                4.80                
Vardas18710      Pavardė18710    7.52                7.00                
Vardas18711      Pavardė18711    7.60                7.60                
Vardas18712      Pavardė18712    6.56                7.00                
Vardas18713      Pavardė18713    8.48                8.60                
Vardas18714      Pavardė18714    5.96                5.80                
Vardas18715      Pavardė18715    6.12                5.80                
Vardas18717      Pavardė18717    6.96                7.60                
Vardas18718      Pavardė18718    5.64                5.60                
Vardas18720      Pavardė18720    6.92                7.20                
Vardas18725      Pavardė18725    7.52                7.40                
Vardas18726      Pavardė18726    5.48                5.60                
Vardas18728      Pavardė18728    6.48                6.40                
Vardas18732      Pavardė18732    6.88                6.40                
Vardas18733      Pavardė18733    6.16                6.20                
Vardas18735      Pavardė18735    8.04                7.80                
Vardas18736      Pavardė18736    7.56                7.60                
Vardas18737      Pavardė18737    6.84                6.60                
Vardas18738      Pavardė18738    7.12                7.60                
Vardas18740      Pavardė18740    7.40                7.40                
Vardas18741      Pavardė18741    8.04                8.00                
Vardas18742      Pavardė18742    5.60                5.80                
Vardas18744      Pavardė18744    6.56                7.20                
Vardas18746      Pavardė18746    7.76                7.40                
Vardas18748      Pavardė18748    7.28                7.00                
Vardas18750      Pavardė18750    6.56                6.60                
Vardas18751      Pavardė18751    6.92                7.00                
Vardas18752      Pavardė18752    5.48                5.00                
Vardas18753      Pavardė18753    6.80                6.60                
Vardas18754      Pavardė18754    5.52                5.60                
Vardas18757      Pavardė18757    8.76                9.20                
Vardas18758      Pavardė18758    8.52                8.40                
Vardas18759      Pavardė18759    7.28                7.60                
Vardas18760      Pavardė18760    7.52                7.40                
Vardas18762      Pavardė18762    5.76                5.80                
Vardas18763      Pavardė18763    8.24                8.40                
Vardas18766      Pavardė18766    5.36                5.40                
Vardas18769      Pavardė18769    5.04                4.80                
Vardas18770      Pavardė18770    7.52                7.40                
Vardas18771      Pavardė18771    5.04                5.00                
Vardas18774      Pavardė18774    5.84                5.80                
Vardas18776      Pavardė18776    5.28                5.40                
Vardas18778      Pavardė18778    6.48                6.40                
Vardas18780      Pavardė18780    5.68                6.20                
Vardas18781      Pavardė18781    5.08                5.60                
Vardas18783      Pavardė18783    7.12                6.60                
Vardas18784      Pavardė18784    7.84                8.20                
Vardas18787      Pavardė18787    5.16                5.00                
Vardas18789      Pavardė18789    7.60                7.80                
Vardas18790      Pavardė18790    5.48                5.40                
Vardas18791      Pavardė18791    7.04                7.40                
Vardas18793      Pavardė18793    5.12                5.00                
Vardas18794      Pavardė18794    6.76                6.60                
Vardas18795      Pavardė18795    7.16                7.60                
Vardas18796      Pavardė18796    6.64                6.60                
Vardas18797      Pavardė18797    5.64                5.40                
Vardas18801      Pavardė18801    6.88                6.80                
Vardas18802      Pavardė18802    7.16                7.00                
Vardas18803      Pavardė18803    6.80                7.00                
Vardas18804      Pavardė18804    8.60                8.60                
Vardas18805      Pavardė18805    5.04                5.00                
Vardas18807      Pavardė18807    5.72                5.80                
Vardas18808      Pavardė18808    5.96                6.40                
Vardas18809      Pavardė18809    7.68                7.60                
Vardas18810      Pavardė18810    5.32                5.60                
Vardas18811      Pavardė18811    6.80                7.00                
Vardas18812      Pavardė18812    6.32                6.20                
Vardas18817      Pavardė18817    6.44                6.40                
Vardas18821      Pavardė18821    5.00                5.20                
Vardas18822      Pavardė18822    7.16                7.20                
Vardas18825      Pavardė18825    7.56                7.40                
